korean,latin,transcription
꺮,ggyaelp,k͈jaelpʰ
꺯,ggyaelh,k͈jaelh
꺰,ggyaem,k͈jaem
꺱,ggyaeb,k͈jaep
꺲,ggyaebs,k͈jaeps
꺳,ggyaes,k͈jaes
꺴,ggyaess,k͈jaes͈
꺵,ggyaeng,k͈jaeŋ
꺶,ggyaej,k͈jaec
꺷,ggyaech,k͈jaecʰ
꺸,ggyaek,k͈jaekʰ
꺹,ggyaet,k͈jaetʰ
꺺,ggyaep,k͈jaepʰ
꺻,ggyaeh,k͈jaeh
꺼,ggeo,k͈eo
꺽,ggeog,k͈eok
꺾,ggeogg,k͈eok͈
꺿,ggeogs,k͈eoks
껀,ggeon,k͈eon
껁,ggeonj,k͈eonɟ
껂,ggeonh,k͈eonh
껃,ggeod,k͈eot
껄,ggeol,k͈eoɾ
껅,ggeolg,k͈eolg
껆,ggeolm,k͈eolm
껇,ggeolb,k͈eolb
껈,ggeols,k͈eols
껉,ggeolt,k͈eoltʰ
껊,ggeolp,k͈eolpʰ
껋,ggeolh,k͈eolh
껌,ggeom,k͈eom
껍,ggeob,k͈eop
껎,ggeobs,k͈eops
껏,ggeos,k͈eos
껐,ggeoss,k͈eos͈
껑,ggeong,k͈eoŋ
껒,ggeoj,k͈eoc
껓,ggeoch,k͈eocʰ
껔,ggeok,k͈eokʰ
껕,ggeot,k͈eotʰ
껖,ggeop,k͈eopʰ
껗,ggeoh,k͈eoh
께,gge,k͈e
껙,ggeg,k͈ek
껚,ggegg,k͈ek͈
껛,ggegs,k͈eks
껜,ggen,k͈en
껝,ggenj,k͈enɟ
껞,ggenh,k͈enh
껟,gged,k͈et
껠,ggel,k͈eɾ
껡,ggelg,k͈elg
껢,ggelm,k͈elm
껣,ggelb,k͈elb
껤,ggels,k͈els
껥,ggelt,k͈eltʰ
껦,ggelp,k͈elpʰ
껧,ggelh,k͈elh
껨,ggem,k͈em
껩,ggeb,k͈ep
껪,ggebs,k͈eps
껫,gges,k͈es
껬,ggess,k͈es͈
껭,ggeng,k͈eŋ
껮,ggej,k͈ec
껯,ggech,k͈ecʰ
껰,ggek,k͈ekʰ
껱,gget,k͈etʰ
껲,ggep,k͈epʰ
껳,ggeh,k͈eh
껴,ggyeo,k͈jeo
껵,ggyeog,k͈jeok
껶,ggyeogg,k͈jeok͈
껷,ggyeogs,k͈jeoks
껸,ggyeon,k͈jeon
껹,ggyeonj,k͈jeonɟ
껺,ggyeonh,k͈jeonh
껻,ggyeod,k͈jeot
껼,ggyeol,k͈jeoɾ
껽,ggyeolg,k͈jeolg
껾,ggyeolm,k͈jeolm
껿,ggyeolb,k͈jeolb
꼀,ggyeols,k͈jeols
꼁,ggyeolt,k͈jeoltʰ
꼂,ggyeolp,k͈jeolpʰ
꼃,ggyeolh,k͈jeolh
꼄,ggyeom,k͈jeom
꼅,ggyeob,k͈jeop
꼆,ggyeobs,k͈jeops
꼇,ggyeos,k͈jeos
꼈,ggyeoss,k͈jeos͈
꼉,ggyeong,k͈jeoŋ
꼊,ggyeoj,k͈jeoc
꼋,ggyeoch,k͈jeocʰ
꼌,ggyeok,k͈jeokʰ
꼍,ggyeot,k͈jeotʰ
꼎,ggyeop,k͈jeopʰ
꼏,ggyeoh,k͈jeoh
꼐,ggye,k͈je
꼑,ggyeg,k͈jek
꼒,ggyegg,k͈jek͈
꼓,ggyegs,k͈jeks
꼔,ggyen,k͈jen
꼕,ggyenj,k͈jenɟ
꼖,ggyenh,k͈jenh
꼗,ggyed,k͈jet
꼘,ggyel,k͈jeɾ
꼙,ggyelg,k͈jelg
꼚,ggyelm,k͈jelm
꼛,ggyelb,k͈jelb
꼜,ggyels,k͈jels
꼝,ggyelt,k͈jeltʰ
꼞,ggyelp,k͈jelpʰ
꼟,ggyelh,k͈jelh
꼠,ggyem,k͈jem
꼡,ggyeb,k͈jep
꼢,ggyebs,k͈jeps
꼣,ggyes,k͈jes
꼤,ggyess,k͈jes͈
꼥,ggyeng,k͈jeŋ
꼦,ggyej,k͈jec
꼧,ggyech,k͈jecʰ
꼨,ggyek,k͈jekʰ
꼩,ggyet,k͈jetʰ
꼪,ggyep,k͈jepʰ
꼫,ggyeh,k͈jeh
꼬,ggo,k͈o
꼭,ggog,k͈ok
꼮,ggogg,k͈ok͈
꼯,ggogs,k͈oks
꼰,ggon,k͈on
꼱,ggonj,k͈onɟ
꼲,ggonh,k͈onh
꼳,ggod,k͈ot
꼴,ggol,k͈oɾ
꼵,ggolg,k͈olg
꼶,ggolm,k͈olm
꼷,ggolb,k͈olb
꼸,ggols,k͈ols
꼹,ggolt,k͈oltʰ
꼺,ggolp,k͈olpʰ
꼻,ggolh,k͈olh
꼼,ggom,k͈om
꼽,ggob,k͈op
꼾,ggobs,k͈ops
꼿,ggos,k͈os
꽀,ggoss,k͈os͈
꽁,ggong,k͈oŋ
꽂,ggoj,k͈oc
꽃,ggoch,k͈ocʰ
꽄,ggok,k͈okʰ
꽅,ggot,k͈otʰ
꽆,ggop,k͈opʰ
꽇,ggoh,k͈oh
꽈,ggwa,k͈wa
꽉,ggwag,k͈wak
꽊,ggwagg,k͈wak͈
꽋,ggwags,k͈waks
꽌,ggwan,k͈wan
꽍,ggwanj,k͈wanɟ
꽎,ggwanh,k͈wanh
꽏,ggwad,k͈wat
꽐,ggwal,k͈waɾ
꽑,ggwalg,k͈walg
꽒,ggwalm,k͈walm
꽓,ggwalb,k͈walb
꽔,ggwals,k͈wals
꽕,ggwalt,k͈waltʰ
꽖,ggwalp,k͈walpʰ
꽗,ggwalh,k͈walh
꽘,ggwam,k͈wam
꽙,ggwab,k͈wap
꽚,ggwabs,k͈waps
꽛,ggwas,k͈was
꽜,ggwass,k͈was͈
꽝,ggwang,k͈waŋ
꽞,ggwaj,k͈wac
꽟,ggwach,k͈wacʰ
꽠,ggwak,k͈wakʰ
꽡,ggwat,k͈watʰ
꽢,ggwap,k͈wapʰ
꽣,ggwah,k͈wah
꽤,ggwae,k͈wa
꽥,ggwaeg,k͈waek
꽦,ggwaegg,k͈waek͈
꽧,ggwaegs,k͈waeks
꽨,ggwaen,k͈waen
꽩,ggwaenj,k͈waenɟ
꽪,ggwaenh,k͈waenh
꽫,ggwaed,k͈waet
꽬,ggwael,k͈waeɾ
꽭,ggwaelg,k͈waelg
꽮,ggwaelm,k͈waelm
꽯,ggwaelb,k͈waelb
꽰,ggwaels,k͈waels
꽱,ggwaelt,k͈waeltʰ
꽲,ggwaelp,k͈waelpʰ
꽳,ggwaelh,k͈waelh
꽴,ggwaem,k͈waem
꽵,ggwaeb,k͈waep
꽶,ggwaebs,k͈waeps
꽷,ggwaes,k͈waes
꽸,ggwaess,k͈waes͈
꽹,ggwaeng,k͈waeŋ
꽺,ggwaej,k͈waec
꽻,ggwaech,k͈waecʰ
꽼,ggwaek,k͈waekʰ
꽽,ggwaet,k͈waetʰ
꽾,ggwaep,k͈waepʰ
꽿,ggwaeh,k͈waeh
꾀,ggoe,k͈we
꾁,ggoeg,k͈wek
꾂,ggoegg,k͈wek͈
꾃,ggoegs,k͈weks
꾄,ggoen,k͈wen
꾅,ggoenj,k͈wenɟ
꾆,ggoenh,k͈wenh
꾇,ggoed,k͈wet
꾈,ggoel,k͈weɾ
꾉,ggoelg,k͈welg
꾊,ggoelm,k͈welm
꾋,ggoelb,k͈welb
꾌,ggoels,k͈wels
꾍,ggoelt,k͈weltʰ
꾎,ggoelp,k͈welpʰ
꾏,ggoelh,k͈welh
꾐,ggoem,k͈wem
꾑,ggoeb,k͈wep
꾒,ggoebs,k͈weps
꾓,ggoes,k͈wes
꾔,ggoess,k͈wes͈
꾕,ggoeng,k͈weŋ
꾖,ggoej,k͈wec
꾗,ggoech,k͈wecʰ
꾘,ggoek,k͈wekʰ
꾙,ggoet,k͈wetʰ
꾚,ggoep,k͈wepʰ
꾛,ggoeh,k͈weh
꾜,ggyo,k͈yo
꾝,ggyog,k͈yok
꾞,ggyogg,k͈yok͈
꾟,ggyogs,k͈yoks
꾠,ggyon,k͈yon
꾡,ggyonj,k͈yonɟ
꾢,ggyonh,k͈yonh
꾣,ggyod,k͈yot
꾤,ggyol,k͈yoɾ
꾥,ggyolg,k͈yolg
꾦,ggyolm,k͈yolm
꾧,ggyolb,k͈yolb
꾨,ggyols,k͈yols
꾩,ggyolt,k͈yoltʰ
꾪,ggyolp,k͈yolpʰ
꾫,ggyolh,k͈yolh
꾬,ggyom,k͈yom
꾭,ggyob,k͈yop
꾮,ggyobs,k͈yops
꾯,ggyos,k͈yos
꾰,ggyoss,k͈yos͈
꾱,ggyong,k͈yoŋ
꾲,ggyoj,k͈yoc
꾳,ggyoch,k͈yocʰ
꾴,ggyok,k͈yokʰ
꾵,ggyot,k͈yotʰ
꾶,ggyop,k͈yopʰ
꾷,ggyoh,k͈yoh
꾸,ggu,k͈u
꾹,ggug,k͈uk
꾺,ggugg,k͈uk͈
꾻,ggugs,k͈uks
꾼,ggun,k͈un
꾽,ggunj,k͈unɟ
꾾,ggunh,k͈unh
꾿,ggud,k͈ut
꿀,ggul,k͈uɾ
꿁,ggulg,k͈ulg
꿂,ggulm,k͈ulm
꿃,ggulb,k͈ulb
꿄,gguls,k͈uls
꿅,ggult,k͈ultʰ
꿆,ggulp,k͈ulpʰ
꿇,ggulh,k͈ulh
꿈,ggum,k͈um
꿉,ggub,k͈up
꿊,ggubs,k͈ups
꿋,ggus,k͈us
꿌,gguss,k͈us͈
꿍,ggung,k͈uŋ
꿎,gguj,k͈uc
꿏,gguch,k͈ucʰ
꿐,gguk,k͈ukʰ
꿑,ggut,k͈utʰ
꿒,ggup,k͈upʰ
꿓,gguh,k͈uh
꿔,ggweo,k͈weo
꿕,ggweog,k͈weok
꿖,ggweogg,k͈weok͈
꿗,ggweogs,k͈weoks
꿘,ggweon,k͈weon
꿙,ggweonj,k͈weonɟ
꿚,ggweonh,k͈weonh
꿛,ggweod,k͈weot
꿜,ggweol,k͈weoɾ
꿝,ggweolg,k͈weolg
꿞,ggweolm,k͈weolm
꿟,ggweolb,k͈weolb
꿠,ggweols,k͈weols
꿡,ggweolt,k͈weoltʰ
꿢,ggweolp,k͈weolpʰ
꿣,ggweolh,k͈weolh
꿤,ggweom,k͈weom
꿥,ggweob,k͈weop
꿦,ggweobs,k͈weops
꿧,ggweos,k͈weos
꿨,ggweoss,k͈weos͈
꿩,ggweong,k͈weoŋ
꿪,ggweoj,k͈weoc
꿫,ggweoch,k͈weocʰ
꿬,ggweok,k͈weokʰ
꿭,ggweot,k͈weotʰ
꿮,ggweop,k͈weopʰ
꿯,ggweoh,k͈weoh
꿰,ggwe,k͈we
꿱,ggweg,k͈wek
꿲,ggwegg,k͈wek͈
꿳,ggwegs,k͈weks
꿴,ggwen,k͈wen
꿵,ggwenj,k͈wenɟ
꿶,ggwenh,k͈wenh
꿷,ggwed,k͈wet
꿸,ggwel,k͈weɾ
꿹,ggwelg,k͈welg
꿺,ggwelm,k͈welm
꿻,ggwelb,k͈welb
꿼,ggwels,k͈wels
꿽,ggwelt,k͈weltʰ
꿾,ggwelp,k͈welpʰ
꿿,ggwelh,k͈welh
뀀,ggwem,k͈wem
뀁,ggweb,k͈wep
뀂,ggwebs,k͈weps
뀃,ggwes,k͈wes
뀄,ggwess,k͈wes͈
뀅,ggweng,k͈weŋ
뀆,ggwej,k͈wec
뀇,ggwech,k͈wecʰ
